poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
k_aleksandrova0,mustang_larry_,mentions,mon feb 01 14:22:55 +0000 2016,694164027086409729,"rt @mustang_larry_: больше не жалуйтесь на свою работу
#ohnosimon https://t.co/purhzpfliu",['ohnosimon'],True
ririna982,ririna982,tweet,mon feb 01 14:26:37 +0000 2016,694164958242869248,ss2 ยังพีคขนาดนี้ แล้วssต่อจากนี้กูไม่ต้องกลั้นหายใจดูจนตายเลยหรอ😂  #gameofthrones,['gameofthrones'],False
josephpouline,iamowly,mentions,mon feb 01 14:31:41 +0000 2016,694166233323814912,Синга для @iamowly https://t.co/awiwsgdnnk,[],False
katie_marie0201,lordsnow,mentions,mon feb 01 14:41:01 +0000 2016,694168582104612864,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
katie_marie0201,jimwhite,mentions,mon feb 01 14:41:01 +0000 2016,694168582104612864,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
josephpouline,smalllight1546,mentions,mon feb 01 14:47:55 +0000 2016,694170318575947776,Синга для @smalllight1546 https://t.co/lpwak39eri,[],False
artist_cmnt,ppsmmgx,mentions,mon feb 01 14:49:36 +0000 2016,694170742187950080,"rt @ppsmmgx: กู : ส่งemsเลยนะคะเดี๋ยวจะโอนเงินค่ะ
ร้าน : รบกวนลูกค้าใช้ ค่ะกับคะ ให้ถูกต้องด้วยได้ไหมค่ะ อ่านแล้วขัดๆ คะ
กู : ได้ค่ะ ยกเลิก…",[],True
millowoki,millowoki,tweet,mon feb 01 14:52:28 +0000 2016,694171463599951872,"наверное,теперь я начну хоть что-то писать в твиттер, ведь зачем то он у меня есть",[],False
beurreiy_,minminnay,mentions,mon feb 01 14:55:30 +0000 2016,694172226954760193,rt @minminnay: เคยดูเบื้องหลังโชว์ของsjหลายๆที่ จะแอบเห็นเมนร้องคอยสอนเมนเต้นร้องเพลง และเห็นเมนเต้นสอนเมนร้องเต้นอยู่บ่อยๆ ชอบการช่วยเหลือ…,[],True
tiago4413,antoinewargnier,reply,mon feb 01 15:17:48 +0000 2016,694177838937849856,@antoinewargnier @jul @luis_rmc mercéeeeee,[],False
tiago4413,jul,mentions,mon feb 01 15:17:48 +0000 2016,694177838937849856,@antoinewargnier @jul @luis_rmc mercéeeeee,[],False
tiago4413,luis_rmc,mentions,mon feb 01 15:17:48 +0000 2016,694177838937849856,@antoinewargnier @jul @luis_rmc mercéeeeee,[],False
agi7_loveming,minminnay,mentions,mon feb 01 15:18:14 +0000 2016,694177948006363136,"rt @minminnay: อุคเลียนแบบท่าเต้นเพลงดังๆอย่างของคาร่า, โซชิ, วอนเดอร์เกิร์ล, beg และsorry sorry เต้นวงอื่นเป๊ะหมดยกเว้นวงตัวเอง😂  https://…",[],True
dr_mnd,yildizpinarrr,mentions,mon feb 01 15:23:27 +0000 2016,694179260827836416,"rt @yildizpinarrr: game of thrones 6
 sezon türkçe altyazılı 3 teaser ... house of stark 😘😍😍😍😘 #gameofthronestr #gameofthrones https://t.co…","['gameofthronestr', 'gameofthrones']",True
peep_05,minminnay,mentions,mon feb 01 15:25:30 +0000 2016,694179776701927424,rt @minminnay: เคยดูเบื้องหลังโชว์ของsjหลายๆที่ จะแอบเห็นเมนร้องคอยสอนเมนเต้นร้องเพลง และเห็นเมนเต้นสอนเมนร้องเต้นอยู่บ่อยๆ ชอบการช่วยเหลือ…,[],True
oopsch_,minminnay,mentions,mon feb 01 15:25:45 +0000 2016,694179839608115200,"rt @minminnay: อุคเลียนแบบท่าเต้นเพลงดังๆอย่างของคาร่า, โซชิ, วอนเดอร์เกิร์ล, beg และsorry sorry เต้นวงอื่นเป๊ะหมดยกเว้นวงตัวเอง😂  https://…",[],True
bono__animo,bono__animo,tweet,mon feb 01 15:29:00 +0000 2016,694180657514299393,"Хотела сейчас пойти съесть кусок мяса. Вспомнила сколько там калорий.
Собственно, нахер мясо, обойдусь и без него",[],False
sultanofcebula,phantasmame,mentions,mon feb 01 15:29:57 +0000 2016,694180896602243073,"rt @phantasmame: cihangir podejrzewa, że coś jest nie tak.  nie oszukacie go. #wspaniałestulecie",['wspaniałestulecie'],True
bono__animo,bono__animo,tweet,mon feb 01 15:30:36 +0000 2016,694181060188463105,"Уже наверное с неделю в разных группах и в тви вижу посты про какие-то лабутены и штаны. 
Че блять за херня?",[],False
amphinitre,amphinitre,tweet,mon feb 01 15:34:07 +0000 2016,694181945174069248,"i próbuje coś udowodnić 😭☹😒 
#wspaniałestulecie  https://t.co/vohl50xrmo",['wspaniałestulecie'],False
diresarah,thrones_memes,mentions,mon feb 01 15:35:37 +0000 2016,694182322652905472,rt @thrones_memes: sophie turner's selfie with ryan gosling https://t.co/2ix9dtzbwm,[],True
lm_799,minminnay,mentions,mon feb 01 15:38:17 +0000 2016,694182993758294016,"rt @minminnay: อุคเลียนแบบท่าเต้นเพลงดังๆอย่างของคาร่า, โซชิ, วอนเดอร์เกิร์ล, beg และsorry sorry เต้นวงอื่นเป๊ะหมดยกเว้นวงตัวเอง😂  https://…",[],True
tedlineus,diankaa_m,reply,mon feb 01 15:44:36 +0000 2016,694184583366078464,"@diankaa_m ахаха, ну ладно",[],False
pawankumar_in,pawankumar_in,tweet,mon feb 01 15:46:57 +0000 2016,694185174771191808,pm modi's farmer outreach in strategy shift after bihar debacle: the bjp is on major course correction after two big setbacks in the ...,[],False
nounouducher,geekmagazinefr,mentions,mon feb 01 15:51:34 +0000 2016,694186336614535168,rt @geekmagazinefr: #concours #rt + follow et tenter de gagner le jeux #gameofthrones #videogames #jeuxconcours @geekmagazinefr https://t.c…,"['concours', 'rt', 'gameofthrones', 'videogames', 'jeuxconcours']",True
nounouducher,geekmagazinefr,mentions,mon feb 01 15:51:34 +0000 2016,694186336614535168,rt @geekmagazinefr: #concours #rt + follow et tenter de gagner le jeux #gameofthrones #videogames #jeuxconcours @geekmagazinefr https://t.c…,"['concours', 'rt', 'gameofthrones', 'videogames', 'jeuxconcours']",True
no1ilovelucyfan,dr1dreamer,reply,mon feb 01 15:54:00 +0000 2016,694186948957753344,"@dr1dreamer i still think she &amp; fin will hit the sheets, she'll end up preg &amp; they leave salem together. #days #byebyeariz","['days', 'byebyeariz']",False
sheila_rubio,got_tyrion,mentions,mon feb 01 16:01:29 +0000 2016,694188832196001792,rt @got_tyrion: #mondaymotivation https://t.co/vx5irec50s,['mondaymotivation'],True
hijode_lugo,viictoria_ntvg,mentions,mon feb 01 16:03:28 +0000 2016,694189331351748610,rt @viictoria_ntvg: @hijode_lugo jajsjajajaja ves,[],True
hijode_lugo,hijode_lugo,mentions,mon feb 01 16:03:28 +0000 2016,694189331351748610,rt @viictoria_ntvg: @hijode_lugo jajsjajajaja ves,[],True
hijode_lugo,maca9321,mentions,mon feb 01 16:04:24 +0000 2016,694189566199218176,rt @maca9321: marcar a la hora justa. https://t.co/4oypxys4b4,[],True
dasnobbel,got_tyrion,mentions,mon feb 01 16:06:27 +0000 2016,694190082119471104,rt @got_tyrion: #mondaymotivation https://t.co/vx5irec50s,['mondaymotivation'],True
chaelmontgomery,variety,mentions,mon feb 01 16:07:07 +0000 2016,694190249879031809,"rt @variety: #therevenant, #madmax and #gameofthrones top art directors guild awards https://t.co/shutgpq72i https://t.co/gnf0txhnry","['therevenant', 'madmax', 'gameofthrones']",True
gijoe_57,gameofthrones,mentions,mon feb 01 16:12:09 +0000 2016,694191516575641600,"rt @gameofthrones: ""winterfell is mine."" 
#gotseason6 premieres 4.24.16 
#gameofthrones
https://t.co/uca8qf0i65","['gotseason6', 'gameofthrones']",True
sultanofcebula,phantasmame,mentions,mon feb 01 16:14:54 +0000 2016,694192208635916288,"rt @phantasmame: uważam, że w tym serialu jest zbyt mało księcia cihangira.  #wspaniałestulecie",['wspaniałestulecie'],True
jeff_dunhill,britishvogue,mentions,mon feb 01 16:15:25 +0000 2016,694192338650931202,rt @britishvogue: did you see: which famous friend sent @tyrabanks a sweet congratulatory gift following the arrival of baby york? https://…,[],True
jeff_dunhill,tyrabanks,mentions,mon feb 01 16:15:25 +0000 2016,694192338650931202,rt @britishvogue: did you see: which famous friend sent @tyrabanks a sweet congratulatory gift following the arrival of baby york? https://…,[],True
hadesflamme,hadesflamme,tweet,mon feb 01 16:19:26 +0000 2016,694193349469814784,"sword art online pop! animation vinyl figur kirito clear blue sword variant 9 cm
 https://t.co/q6jxagwzgu",[],False
friday_bitch0,1dsasha12,mentions,mon feb 01 16:22:54 +0000 2016,694194221914390530,"rt @1dsasha12: 1. В О Л О С Ы
😍😍😍😍😍😍
#22thingsweloveaboutharry
#top50fansonedirection https://t.co/cdhbyzkpjd","['22thingsweloveaboutharry', 'top50fansonedirection']",True
verawilkens,verawilkens,tweet,mon feb 01 16:24:33 +0000 2016,694194637142126592,ele é próprio general da macholandia! !! aaaaffff me poupe cara  https://t.co/4l6qn0x828,[],False
queenmoon21,horinka3715,mentions,mon feb 01 16:26:11 +0000 2016,694195048183914496,"rt @horinka3715: Кому картиночку с едой? #rt
#инстаграмчиканасос #НасосОтСученькиМэри https://t.co/y9pbofcrvb","['rt', 'инстаграмчиканасос', 'НасосОтСученькиМэри']",True
pepepotamo2013,goftnews,mentions,mon feb 01 16:28:45 +0000 2016,694195694115123204,rt @goftnews: house stark needs a new motto. http://t.co/zmeh4z1sio,[],True
